            table_name             |           column_name            
 threecplus_agent_sessions         | campaign_id
 threecplus_agent_sessions         | campaign_name
 threecplus_agent_sessions         | session_type
 threecplus_agent_sessions         | pause_name
 threecplus_agent_sessions         | status
 rebranding_tasks                  | title
 rebranding_tasks                  | description
 rebranding_tasks                  | status
 rebranding_tasks                  | priority
 rebranding_tasks                  | assignee
 roi_events                        | evidence_snippet
 roi_events                        | image_url
 hr_jobs                           | title
 hr_jobs                           | description
 hr_jobs                           | requirements
 hr_jobs                           | department
 hr_jobs                           | position
 hr_jobs                           | unit
 hr_jobs                           | work_model
 hr_jobs                           | contract_type
 hr_jobs                           | seniority
 hr_jobs                           | description_tone
 hr_jobs                           | description_context
 hr_jobs                           | education_level
 hr_jobs                           | salary_type
 hr_jobs                           | urgency
 custom_fields                     | name
 custom_fields                     | field_type
 hr_time_records                   | status
 hr_time_records                   | justification
 hr_time_records                   | notes
 user_sessions                     | session_token
 user_sessions                     | ip_address
 user_sessions                     | user_agent
 user_sessions                     | device_fingerprint
 user_sessions                     | city
 user_sessions                     | country
 client_field_values               | value_text
 marketing_reference_boards        | name
 marketing_reference_boards        | description
 marketing_reference_boards        | cover_url
 marketing_reference_boards        | color
 dunning_case_events               | event_type
 dunning_case_events               | from_stage
 dunning_case_events               | to_stage
 dunning_case_events               | description
 ai_effective_patterns             | sector_id
 ai_effective_patterns             | pattern_type
 ai_effective_patterns             | trigger_context
 ai_effective_patterns             | effective_response
 ai_effective_patterns             | why_it_works
 client_service_history            | agent_name
 client_service_history            | sector_id
 client_service_history            | department_name
 client_service_history            | outcome
 client_service_history            | summary
 client_service_history            | ai_summary
 client_service_history            | notes
 financial_entry_templates         | name
 financial_entry_templates         | description
 financial_entry_templates         | type
 financial_entry_templates         | notes
 event_team                        | role_description
 event_team                        | responsibilities
 support_messages                  | sender_type
 support_messages                  | content
 support_messages                  | message_type
 support_messages                  | external_message_id
 rebranding_assets                 | channel_key
 rebranding_assets                 | asset_kind
 rebranding_assets                 | asset_label
 rebranding_assets                 | asset_dimensions
 rebranding_assets                 | asset_format
 rebranding_assets                 | status
 rebranding_assets                 | file_path
 rebranding_assets                 | file_name
 rebranding_assets                 | mime_type
 rebranding_assets                 | notes
 rebranding_assets                 | uploaded_by_name
 rebranding_assets                 | reviewed_by_name
 rebranding_assets                 | review_note
 rebranding_assets                 | source
 reminder_recipients               | recipient_name
 reminder_recipients               | recipient_phone
 reminder_recipients               | recipient_email
 reminder_recipients               | whatsapp_error
 reminder_recipients               | email_error
 financial_accountant              | nome
 financial_accountant              | escritorio
 financial_accountant              | crc
 financial_accountant              | telefone
 financial_accountant              | email
 financial_accountant              | whatsapp
 financial_accountant              | frequencia
 financial_accountant              | observacoes
 sales_history                     | client_name
 sales_history                     | seller_name
 sales_history                     | origin
 sales_history                     | city
 sales_history                     | address
 sales_history                     | cpf
 sales_history                     | cnpj
 sales_history                     | cep
 sales_history                     | payment_type
 sales_history                     | payment_method
 sales_history                     | phone
 sales_history                     | email
 sales_history                     | notes
 sales_history                     | product
 suppliers                         | name
 suppliers                         | document
 suppliers                         | document_type
 suppliers                         | email
 suppliers                         | phone
 suppliers                         | contact_name
 suppliers                         | street
 suppliers                         | street_number
 suppliers                         | complement
 suppliers                         | neighborhood
 suppliers                         | city
 suppliers                         | state
 suppliers                         | zip_code
 suppliers                         | bank_name
 suppliers                         | bank_agency
 suppliers                         | bank_account
 suppliers                         | pix_key
 suppliers                         | notes
 suppliers                         | inscricao_estadual
 suppliers                         | inscricao_municipal
 suppliers                         | trade_name
 account_settings                  | ai_model
 account_settings                  | ai_system_prompt
 account_settings                  | ai_roi_prompt
 account_settings                  | ai_risk_prompt
 account_settings                  | ai_life_events_prompt
 account_settings                  | ai_analysis_frequency
 account_settings                  | nfse_emission_mode
 sales_team_careers                | contract_type
 sales_team_careers                | career_level_name
 sales_team_careers                | area
 sales_team_careers                | cargo
 zapp_call_settings                | sector_id
 zapp_call_settings                | provider
 login_attempts                    | email
 login_attempts                    | ip_address
 login_attempts                    | user_agent
 event_schedule                    | title
 event_schedule                    | description
 event_schedule                    | location
 event_schedule                    | speaker
 event_schedule                    | notes
 sales_meetings                    | title
 sales_meetings                    | meeting_url
 sales_meetings                    | meeting_type
 sales_meetings                    | status
 sales_meetings                    | notes
 rebranding_channels               | name
 rebranding_channels               | category
 rebranding_channels               | icon
 rebranding_channels               | url
 rebranding_channels               | status
 rebranding_channels               | owner
 rebranding_channels               | notes
 marketing_project_stakeholders    | name
 marketing_project_stakeholders    | role
 marketing_project_stakeholders    | type
 marketing_project_stakeholders    | email
 marketing_project_stakeholders    | phone
 marketing_project_stakeholders    | notes
 marketing_project_milestones      | title
 marketing_project_milestones      | description
 marketing_project_documents       | title
 marketing_project_documents       | url
 marketing_project_documents       | kind
 ai_agent_functions                | function_key
 ai_agent_functions                | function_name
 ai_agent_functions                | description
 ai_agent_functions                | instructions
